pri_key,dates,clients,orders,materials
203,2019/12/23,c1,85,12404641
320,2019/12/27,c1,181,12404641
384,2019/12/30,c1,115,12404641
444,2019/12/31,c1,147,12404641
563,2020/01/03,c1,426,12404641
625,2020/01/06,c1,54,12404641
649,2020/01/07,c1,137,12404641
789,2020/01/10,c1,498,12404641
849,2020/01/13,c1,187,12404641
943,2020/01/14,c1,145,12404641
1112,2020/01/17,c1,353,12404641
1145,2020/01/20,c1,52,12404641
1264,2020/01/21,c1,108,12404641
1422,2020/01/24,c1,469,12404641
1477,2020/01/27,c1,92,12404641
1613,2020/01/28,c1,127,12404641
1794,2020/01/31,c1,440,12404641
1852,2020/02/03,c1,218,12404641
1923,2020/02/04,c1,145,12404641
2139,2020/02/07,c1,449,12404641
2171,2020/02/10,c1,55,12404641
2267,2020/02/11,c1,95,12404641
2406,2020/02/14,c1,350,12404641
2484,2020/02/17,c1,141,12404641
2517,2020/02/18,c1,69,12404641
2688,2020/02/21,c1,414,12404641
2757,2020/02/24,c1,108,12404641
