pri_key,dates,clients,orders,materials
290,2019/12/27,c4,5148,12365978
364,2019/12/30,c4,594,12365978
427,2019/12/31,c4,396,12365978
532,2020/01/02,c4,495,12365978
603,2020/01/03,c4,594,12365978
674,2020/01/07,c4,3861,12365978
761,2020/01/09,c4,297,12365978
804,2020/01/10,c4,792,12365978
903,2020/01/14,c4,1188,12365978
1090,2020/01/17,c4,693,12365978
1216,2020/01/20,c4,3168,12365978
1280,2020/01/21,c4,792,12365978
1348,2020/01/22,c4,396,12365978
1383,2020/01/23,c4,1188,12365978
1564,2020/01/27,c4,5049,12365978
1612,2020/01/28,c4,396,12365978
1712,2020/01/29,c4,396,12365978
1762,2020/01/30,c4,396,12365978
1831,2020/01/31,c4,594,12365978
1882,2020/02/03,c4,693,12365978
1924,2020/02/04,c4,8415,12365978
2148,2020/02/07,c4,396,12365978
2344,2020/02/12,c4,396,12365978
2377,2020/02/13,c4,3564,12365978
2463,2020/02/14,c4,4455,12365978
2528,2020/02/18,c4,4752,12365978
2581,2020/02/19,c4,594,12365978
2671,2020/02/20,c4,198,12365978
