2019/12/23,c2,1439
2019/12/24,c2,48
2019/12/27,c2,4099
2019/12/30,c2,2216
2019/12/31,c2,1620
2020/01/02,c2,2834
2020/01/03,c2,1314
2020/01/06,c2,1063
2020/01/07,c2,506
2020/01/08,c2,970
2020/01/09,c2,1914
2020/01/10,c2,276
2020/01/13,c2,825
2020/01/14,c2,928
2020/01/15,c2,1562
2020/01/16,c2,4489
2020/01/17,c2,1478
2020/01/20,c2,1742
2020/01/21,c2,2418
2020/01/22,c2,2164
2020/01/23,c2,4925
2020/01/24,c2,3253
2020/01/27,c2,2596
2020/01/28,c2,648
2020/01/29,c2,2991
2020/01/30,c2,4348
2020/01/31,c2,496
2020/02/03,c2,1558
2020/02/04,c2,508
2020/02/05,c2,4133
2020/02/06,c2,1315
2020/02/07,c2,564
2020/02/10,c2,3450
2020/02/11,c2,1584
2020/02/12,c2,3501
2020/02/13,c2,2875
2020/02/14,c2,2088
2020/02/18,c2,1228
2020/02/19,c2,1602
2020/02/20,c2,2583
2020/02/21,c2,1619
2020/02/24,c2,576
