pri_key,dates,clients,orders,materials
282,2019/12/25,c1,126,11001186
371,2019/12/30,c1,126,11001186
413,2019/12/31,c1,378,11001186
476,2020/01/01,c1,126,11001186
534,2020/01/02,c1,126,11001186
609,2020/01/06,c1,126,11001186
715,2020/01/08,c1,126,11001186
862,2020/01/13,c1,126,11001186
969,2020/01/15,c1,756,11001186
1064,2020/01/16,c1,252,11001186
1195,2020/01/20,c1,252,11001186
1246,2020/01/21,c1,378,11001186
1333,2020/01/22,c1,882,11001186
1369,2020/01/23,c1,693,11001186
1523,2020/01/27,c1,315,11001186
1590,2020/01/28,c1,252,11001186
1672,2020/01/29,c1,126,11001186
1772,2020/01/30,c1,567,11001186
2022,2020/02/05,c1,378,11001186
2060,2020/02/06,c1,189,11001186
2208,2020/02/10,c1,315,11001186
2290,2020/02/11,c1,252,11001186
2278,2020/02/12,c1,252,11001186
2357,2020/02/13,c1,189,11001186
2569,2020/02/19,c1,252,11001186
2641,2020/02/20,c1,126,11001186
2760,2020/02/24,c1,126,11001186
