829,1/13/2020,c2,330,11000851
1068,1/16/2020,c2,330,11000851
1204,1/20/2020,c2,330,11000851
1319,1/22/2020,c2,220,11000851
1458,1/24/2020,c2,330,11000851
1470,1/27/2020,c2,220,11000851
1741,1/30/2020,c2,440,11000851
1778,1/30/2020,c2,440,11000851
628,1/6/2020,c2,220,11000851
213,12/23/2019,c2,220,11000851
236,12/23/2019,c2,220,11000851
301,12/27/2019,c2,330,11000851
431,12/30/2019,c2,440,11000851
441,12/30/2019,c2,330,11000851
2264,2/11/2020,c2,110,11000851
2299,2/12/2020,c2,110,11000851
2335,2/12/2020,c2,220,11000851
2386,2/13/2020,c2,110,11000851
2394,2/14/2020,c2,110,11000851
2400,2/14/2020,c2,110,11000851
2456,2/14/2020,c2,110,11000851
2592,2/19/2020,c2,297,11000851
2615,2/20/2020,c2,198,11000851
1868,2/3/2020,c2,110,11000851
1908,2/3/2020,c2,110,11000851
2027,2/5/2020,c2,330,11000851
2050,2/6/2020,c2,330,11000851
