224,2019/12/23,c8,660,12320619
257,2019/12/24,c8,660,12320619
265,2019/12/24,c8,660,12320619
287,2019/12/27,c8,132,12320619
453,2019/12/31,c8,264,12320619
1012,2020/01/15,c8,528,12320619
1054,2020/01/16,c8,660,12320619
1118,2020/01/17,c8,528,12320619
1165,2020/01/20,c8,660,12320619
1236,2020/01/21,c8,660,12320619
1420,2020/01/24,c8,528,12320619
1465,2020/01/27,c8,264,12320619
1479,2020/01/27,c8,396,12320619
1573,2020/01/28,c8,660,12320619
2212,2020/02/10,c8,396,12320619
2431,2020/02/14,c8,528,12320619
2634,2020/02/20,c8,1056,12320619
2691,2020/02/21,c8,528,12320619
