pri_key,dates,clients,orders
126,2019/12/17,c10,243
154,2019/12/19,c10,678
243,2019/12/23,c10,246
426,2019/12/30,c10,643
437,2019/12/31,c10,966
596,2020/01/03,c10,684
716,2020/01/07,c10,748
722,2020/01/08,c10,1058
750,2020/01/09,c10,567
786,2020/01/10,c10,1025
836,2020/01/13,c10,328
948,2020/01/14,c10,2334
1010,2020/01/15,c10,2640
1089,2020/01/17,c10,713
1288,2020/01/21,c10,790
1394,2020/01/23,c10,285
1555,2020/01/27,c10,782
1649,2020/01/29,c10,99
1783,2020/01/30,c10,146
1871,2020/02/03,c10,773
43,2020/02/05,c10,389
2042,2020/02/06,c10,3330
2252,2020/02/10,c10,264
2247,2020/02/11,c10,3399
2311,2020/02/12,c10,231
2359,2020/02/13,c10,24
2413,2020/02/14,c10,519
2480,2020/02/17,c10,1271
25,2020/02/18,c10,1219
2626,2020/02/19,c10,3032
11,2020/02/20,c10,603
2743,2020/02/21,c10,592
