2019/12/23,c1,573
2019/12/25,c1,794
2019/12/27,c1,835
2019/12/30,c1,1795
2019/12/31,c1,2793
2020/01/01,c1,1892
2020/01/02,c1,653
2020/01/03,c1,2336
2020/01/06,c1,1617
2020/01/07,c1,1782
2020/01/08,c1,1786
2020/01/09,c1,545
2020/01/10,c1,2839
2020/01/13,c1,2893
2020/01/14,c1,1456
2020/01/15,c1,4028
2020/01/16,c1,1222
2020/01/17,c1,2075
2020/01/20,c1,2093
2020/01/21,c1,2276
2020/01/22,c1,4807
2020/01/23,c1,4582
2020/01/24,c1,3801
2020/01/27,c1,3717
2020/01/28,c1,2420
2020/01/29,c1,2386
2020/01/30,c1,3181
2020/01/31,c1,3754
2020/02/03,c1,2537
2020/02/04,c1,2146
2020/02/05,c1,3587
2020/02/06,c1,1444
2020/02/07,c1,2720
2020/02/10,c1,4096
2020/02/11,c1,3005
2020/02/12,c1,2099
2020/02/13,c1,1397
2020/02/14,c1,2353
2020/02/17,c1,1335
2020/02/18,c1,1513
2020/02/19,c1,2213
2020/02/20,c1,797
2020/02/21,c1,2524
2020/02/24,c1,3551
