pri_key,dates,clients,orders
93,2019/12/13,c5,793
119,2019/12/17,c5,84
134,2019/12/19,c5,4490
249,2019/12/24,c5,2547
404,2019/12/30,c5,48
416,2019/12/31,c5,876
541,2020/01/02,c5,5594
614,2020/01/06,c5,383
648,2020/01/07,c5,2533
699,2020/01/09,c5,259
46,2020/01/10,c5,273
35,2020/01/14,c5,720
1105,2020/01/17,c5,822
1223,2020/01/21,c5,1387
1304,2020/01/22,c5,236
1354,2020/01/23,c5,2242
1548,2020/01/27,c5,174
1592,2020/01/28,c5,1339
29,2020/01/29,c5,184
1790,2020/01/30,c5,3789
1843,2020/02/03,c5,96
1891,2020/02/04,c5,5357
2077,2020/02/06,c5,3552
42,2020/02/07,c5,162
2227,2020/02/10,c5,273
2351,2020/02/12,c5,1291
2341,2020/02/13,c5,764
31,2020/02/18,c5,5333
2607,2020/02/19,c5,48
2650,2020/02/20,c5,2967
2722,2020/02/21,c5,916
