166,2019/12/22,c3,108,12293783
216,2019/12/22,c3,108,12293783
378,2019/12/29,c3,216,12293783
357,2019/12/30,c3,54,12293783
488,2019/12/31,c3,108,12293783
565,2020/01/03,c3,216,12293783
686,2020/01/07,c3,216,12293783
811,2020/01/13,c3,108,12293783
834,2020/01/13,c3,108,12293783
865,2020/01/13,c3,108,12293783
875,2020/01/13,c3,54,12293783
946,2020/01/15,c3,108,12293783
962,2020/01/15,c3,108,12293783
997,2020/01/15,c3,54,12293783
1177,2020/01/20,c3,108,12293783
1271,2020/01/22,c3,108,12293783
1485,2020/01/27,c3,108,12293783
1497,2020/01/27,c3,324,12293783
1507,2020/01/27,c3,54,12293783
1662,2020/01/29,c3,216,12293783
1686,2020/01/29,c3,108,12293783
1825,2020/01/31,c3,108,12293783
1885,2020/02/03,c3,54,12293783
1897,2020/02/03,c3,216,12293783
1989,2020/02/05,c3,54,12293783
2005,2020/02/05,c3,108,12293783
2067,2020/02/06,c3,216,12293783
2110,2020/02/07,c3,108,12293783
2120,2020/02/07,c3,108,12293783
2242,2020/02/11,c3,108,12293783
2273,2020/02/11,c3,54,12293783
2308,2020/02/13,c3,216,12293783
2409,2020/02/14,c3,216,12293783
2558,2020/02/19,c3,54,12293783
2685,2020/02/21,c3,108,12293783
2766,2020/02/24,c3,216,12293783
