499,2019/12/31,c1,105,12322779
660,2020/01/07,c1,105,12322779
769,2020/01/10,c1,105,12322779
819,2020/01/13,c1,105,12322779
928,2020/01/14,c1,105,12322779
1253,2020/01/21,c1,105,12322779
1440,2020/01/24,c1,105,12322779
1445,2020/01/24,c1,105,12322779
1787,2020/01/31,c1,105,12322779
1829,2020/01/31,c1,105,12322779
2094,2020/02/07,c1,105,12322779
2166,2020/02/10,c1,105,12322779
2449,2020/02/14,c1,105,12322779
2522,2020/02/18,c1,105,12322779
2702,2020/02/21,c1,105,12322779
2706,2020/02/21,c1,105,12322779
