281,2019/12/25,c1,60,12293768
235,2019/12/27,c1,60,12293768
370,2019/12/30,c1,10,12293768
501,2019/12/31,c1,90,12293768
572,2020/01/03,c1,40,12293768
662,2020/01/07,c1,75,12293768
711,2020/01/08,c1,40,12293768
777,2020/01/10,c1,160,12293768
821,2020/01/13,c1,60,12293768
930,2020/01/14,c1,30,12293768
1020,2020/01/15,c1,60,12293768
1103,2020/01/17,c1,190,12293768
1442,2020/01/24,c1,60,12293768
1536,2020/01/27,c1,50,12293768
1617,2020/01/28,c1,20,12293768
1683,2020/01/29,c1,30,12293768
1816,2020/01/31,c1,120,12293768
1948,2020/02/04,c1,80,12293768
2016,2020/02/05,c1,240,12293768
2145,2020/02/07,c1,160,12293768
2446,2020/02/14,c1,240,12293768
2532,2020/02/18,c1,80,12293768
2606,2020/02/19,c1,80,12293768
