pri_key,dates,clients,orders,materials
221,2019/12/23,c1,66,12271469
368,2019/12/30,c1,66,12271469
498,2019/12/31,c1,165,12271469
518,2020/01/01,c1,66,12271469
570,2020/01/03,c1,396,12271469
631,2020/01/06,c1,66,12271469
659,2020/01/07,c1,198,12271469
709,2020/01/08,c1,66,12271469
775,2020/01/10,c1,660,12271469
818,2020/01/13,c1,66,12271469
927,2020/01/14,c1,132,12271469
1018,2020/01/15,c1,264,12271469
1102,2020/01/17,c1,726,12271469
1252,2020/01/21,c1,198,12271469
1330,2020/01/22,c1,264,12271469
1439,2020/01/24,c1,924,12271469
1535,2020/01/27,c1,231,12271469
1621,2020/01/28,c1,231,12271469
1681,2020/01/29,c1,132,12271469
1814,2020/01/31,c1,792,12271469
1857,2020/02/03,c1,99,12271469
1946,2020/02/04,c1,264,12271469
2014,2020/02/05,c1,264,12271469
2134,2020/02/07,c1,594,12271469
2174,2020/02/10,c1,396,12271469
2281,2020/02/11,c1,462,12271469
2448,2020/02/14,c1,198,12271469
2475,2020/02/17,c1,198,12271469
2530,2020/02/18,c1,99,12271469
2605,2020/02/19,c1,132,12271469
2705,2020/02/21,c1,396,12271469
2771,2020/02/24,c1,330,12271469
