2019/12/05,c7,2277
2019/12/06,c7,4006
2019/12/09,c7,135
2019/12/17,c7,392
2019/12/23,c7,216
2019/12/24,c7,154
2019/12/27,c7,1144
2019/12/31,c7,2100
2020/01/07,c7,4993
2020/01/09,c7,644
2020/01/13,c7,456
2020/01/14,c7,9189
2020/01/15,c7,374
2020/01/16,c7,98
2020/01/20,c7,3433
2020/01/21,c7,2259
2020/01/22,c7,334
2020/01/23,c7,2130
2020/01/27,c7,1561
2020/01/28,c7,2246
2020/01/29,c7,501
2020/01/30,c7,196
2020/01/31,c7,1644
2020/02/03,c7,1226
2020/02/04,c7,1062
2020/02/05,c7,60
2020/02/06,c7,1590
2020/02/07,c7,2288
2020/02/10,c7,3253
2020/02/11,c7,1975
2020/02/12,c7,2720
2020/02/13,c7,2112
2020/02/18,c7,878
2020/02/19,c7,1377
2020/02/20,c7,2461
2020/02/21,c7,484
