pri_key,dates,materials,orders
129,2019/12/18,12293768,20
154,2019/12/19,12293768,240
215,2019/12/22,12293768,110
228,2019/12/23,12293768,90
246,2019/12/24,12293768,100
281,2019/12/25,12293768,60
235,2019/12/27,12293768,860
379,2019/12/29,12293768,160
353,2019/12/30,12293768,30
391,2019/12/31,12293768,535
14,2020/01/03,12293768,560
662,2020/01/07,12293768,120
711,2020/01/08,12293768,160
757,2020/01/10,12293768,440
821,2020/01/13,12293768,520
930,2020/01/14,12293768,30
993,2020/01/15,12293768,495
296,2020/01/17,12293768,350
1137,2020/01/20,12293768,300
1256,2020/01/21,12293768,560
1310,2020/01/22,12293768,85
1400,2020/01/23,12293768,90
1436,2020/01/24,12293768,300
8,2020/01/27,12293768,35396
1583,2020/01/28,12293768,500
1664,2020/01/29,12293768,435
810,2020/01/31,12293768,350
74,2020/02/03,12293768,320
1915,2020/02/04,12293768,400
30,2020/02/05,12293768,900
2071,2020/02/06,12293768,140
2117,2020/02/07,12293768,295
2169,2020/02/10,12293768,160
758,2020/02/11,12293768,560
1550,2020/02/12,12293768,120
2309,2020/02/13,12293768,80
2396,2020/02/14,12293768,750
2497,2020/02/17,12293768,80
2505,2020/02/18,12293768,960
2576,2020/02/19,12293768,250
2714,2020/02/21,12293768,80
