425,2019/12/30,c10,488,12322779
456,2019/12/30,c10,270,12322779
605,2020/01/03,c10,180,12322779
716,2020/01/07,c10,244,12322779
751,2020/01/09,c10,105,12322779
799,2020/01/10,c10,90,12322779
1006,2020/01/15,c10,360,12322779
1010,2020/01/15,c10,180,12322779
1035,2020/01/15,c10,732,12322779
1036,2020/01/15,c10,488,12322779
1061,2020/01/17,c10,450,12322779
1089,2020/01/17,c10,976,12322779
2061,2020/02/06,c10,450,12322779
2062,2020/02/06,c10,270,12322779
2086,2020/02/06,c10,976,12322779
2087,2020/02/06,c10,488,12322779
2270,2020/02/11,c10,50,12322779
2480,2020/02/17,c10,180,12322779
2694,2020/02/21,c10,810,12322779
2743,2020/02/21,c10,375,12322779
