pri_key,dates,clients,orders,materials
312,2019/12/27,c2,1425,12322779
422,2019/12/31,c2,120,12322779
546,2020/01/02,c2,1050,12322779
592,2020/01/03,c2,60,12322779
741,2020/01/09,c2,420,12322779
1041,2020/01/16,c2,420,12322779
1389,2020/01/23,c2,292,12322779
1449,2020/01/24,c2,315,12322779
1528,2020/01/27,c2,420,12322779
1716,2020/01/29,c2,735,12322779
1746,2020/01/30,c2,840,12322779
1819,2020/01/31,c2,120,12322779
1973,2020/02/04,c2,60,12322779
2046,2020/02/05,c2,420,12322779
2127,2020/02/07,c2,60,12322779
2187,2020/02/10,c2,840,12322779
2326,2020/02/12,c2,735,12322779
2387,2020/02/13,c2,420,12322779
2420,2020/02/14,c2,60,12322779
2515,2020/02/18,c2,120,12322779
2680,2020/02/20,c2,210,12322779
2734,2020/02/21,c2,105,12322779
