2019/12/10,c4,224
2019/12/16,c4,1764
2019/12/19,c4,4816
2019/12/21,c4,39816
2019/12/23,c4,2940
2019/12/24,c4,616
2019/12/26,c4,1512
2019/12/27,c4,5374
2019/12/30,c4,6166
2019/12/31,c4,9440
2020/01/02,c4,990
2020/01/03,c4,3540
2020/01/06,c4,4508
2020/01/07,c4,3106
2020/01/08,c4,280
2020/01/09,c4,790
2020/01/10,c4,3628
2020/01/13,c4,420
2020/01/14,c4,6312
2020/01/15,c4,3024
2020/01/16,c4,1456
2020/01/17,c4,1470
2020/01/20,c4,17028
2020/01/21,c4,792
2020/01/22,c4,1012
2020/01/23,c4,13284
2020/01/24,c4,3276
2020/01/27,c4,5606
2020/01/28,c4,6220
2020/01/29,c4,13000
2020/01/30,c4,788
2020/01/31,c4,2168
2020/02/03,c4,2954
2020/02/04,c4,5298
2020/02/05,c4,868
2020/02/07,c4,788
2020/02/10,c4,812
2020/02/11,c4,112
2020/02/12,c4,872
2020/02/13,c4,3564
2020/02/14,c4,3502
2020/02/18,c4,2852
2020/02/19,c4,622
2020/02/20,c4,366
2020/02/21,c4,420
