71,2019/12/09,c6,198,12320618
75,2019/12/09,c6,66,12320618
100,2019/12/16,c6,528,12320618
103,2019/12/16,c6,198,12320618
107,2019/12/16,c6,132,12320618
842,2020/01/13,c6,924,12320618
857,2020/01/13,c6,66,12320618
880,2020/01/13,c6,330,12320618
1155,2020/01/20,c6,132,12320618
1158,2020/01/20,c6,396,12320618
1187,2020/01/20,c6,198,12320618
1516,2020/01/27,c6,132,12320618
1521,2020/01/27,c6,1188,12320618
1561,2020/01/27,c6,660,12320618
1840,2020/02/03,c6,132,12320618
1888,2020/02/03,c6,132,12320618
2197,2020/02/10,c6,132,12320618
2201,2020/02/10,c6,66,12320618
2236,2020/02/10,c6,66,12320618
2470,2020/02/14,c6,264,12320618
2467,2020/02/15,c6,66,12320618
2477,2020/02/15,c6,264,12320618
2488,2020/02/17,c6,66,12320618
