pri_key,dates,clients,orders,materials
9,2019/12/30,c2,104,12246740
510,2020/01/02,c2,104,12246740
588,2020/01/03,c2,208,12246740
898,2020/01/14,c2,208,12246740
1038,2020/01/16,c2,104,12246740
24,2020/01/17,c2,104,12246740
1243,2020/01/21,c2,208,12246740
1384,2020/01/23,c2,104,12246740
642,2020/01/28,c2,104,12246740
1756,2020/01/30,c2,104,12246740
289,2020/01/31,c2,104,12246740
1981,2020/02/04,c2,208,12246740
2063,2020/02/07,c2,208,12246740
2271,2020/02/11,c2,104,12246740
2491,2020/02/18,c2,208,12246740
2613,2020/02/20,c2,208,12246740
2711,2020/02/21,c2,208,12246740
