pri_key,dates,clients,orders,materials
239,2019/12/23,c2,126,11001186
303,2019/12/27,c2,126,11001186
440,2019/12/30,c2,126,11001186
627,2020/01/06,c2,252,11001186
831,2020/01/13,c2,126,11001186
1067,2020/01/16,c2,252,11001186
1203,2020/01/20,c2,126,11001186
1321,2020/01/22,c2,126,11001186
1459,2020/01/24,c2,252,11001186
1468,2020/01/27,c2,126,11001186
1777,2020/01/30,c2,189,11001186
1907,2020/02/03,c2,126,11001186
2028,2020/02/05,c2,252,11001186
2051,2020/02/06,c2,126,11001186
2333,2020/02/12,c2,126,11001186
2385,2020/02/13,c2,126,11001186
2459,2020/02/14,c2,126,11001186
2593,2020/02/19,c2,168,11001186
2614,2020/02/20,c2,84,11001186
