pri_key,dates,materials,orders
83,2019/12/10,12396696,112
143,2019/12/19,12396696,770
241,2019/12/23,12396696,168
247,2019/12/24,12396696,924
313,2019/12/27,12396696,28
347,2019/12/30,12396696,5600
479,2019/12/31,12396696,112
589,2020/01/03,12396696,168
617,2020/01/06,12396696,15778
693,2020/01/07,12396696,28
724,2020/01/08,12396696,140
759,2020/01/09,12396696,294
792,2020/01/10,12396696,140
893,2020/01/13,12396696,420
900,2020/01/14,12396696,15372
1016,2020/01/15,12396696,126
1043,2020/01/16,12396696,6552
1125,2020/01/17,12396696,84
1174,2020/01/20,12396696,4536
1349,2020/01/22,12396696,112
1418,2020/01/24,12396696,9072
1487,2020/01/27,12396696,4970
1633,2020/01/28,12396696,1554
1624,2020/01/29,12396696,187264
1774,2020/01/30,12396696,588
1807,2020/01/31,12396696,112
1862,2020/02/03,12396696,3136
1936,2020/02/04,12396696,2352
2032,2020/02/05,12396696,364
2141,2020/02/07,12396696,392
2153,2020/02/10,12396696,2030
2292,2020/02/11,12396696,112
2337,2020/02/12,12396696,238
2455,2020/02/14,12396696,532
2509,2020/02/18,12396696,476
2578,2020/02/19,12396696,28
2640,2020/02/20,12396696,84
2724,2020/02/21,12396696,630
