pri_key,dates,materials,orders
131,2019/12/18,12395525,105
155,2019/12/19,12395525,42
218,2019/12/22,12395525,336
220,2019/12/23,12395525,672
263,2019/12/24,12395525,161
279,2019/12/25,12395525,126
233,2019/12/27,12395525,672
381,2019/12/29,12395525,189
356,2019/12/30,12395525,210
421,2019/12/31,12395525,672
517,2020/01/01,12395525,294
503,2020/01/02,12395525,294
567,2020/01/03,12395525,1134
152,2020/01/06,12395525,308
120,2020/01/07,12395525,945
708,2020/01/08,12395525,336
743,2020/01/09,12395525,378
774,2020/01/10,12395525,672
817,2020/01/13,12395525,1638
19,2020/01/14,12395525,441
964,2020/01/15,12395525,756
1040,2020/01/16,12395525,189
292,2020/01/17,12395525,504
1135,2020/01/20,12395525,854
1251,2020/01/21,12395525,273
1316,2020/01/22,12395525,924
1391,2020/01/23,12395525,252
1438,2020/01/24,12395525,1260
1499,2020/01/27,12395525,1071
1603,2020/01/28,12395525,252
1660,2020/01/29,12395525,966
1747,2020/01/30,12395525,336
808,2020/01/31,12395525,1260
1025,2020/02/03,12395525,672
1925,2020/02/04,12395525,357
2003,2020/02/05,12395525,882
2068,2020/02/06,12395525,252
116,2020/02/07,12395525,1302
2160,2020/02/10,12395525,840
2272,2020/02/11,12395525,147
2315,2020/02/12,12395525,126
2306,2020/02/13,12395525,378
2419,2020/02/14,12395525,735
2474,2020/02/17,12395525,252
2514,2020/02/18,12395525,784
2556,2020/02/19,12395525,210
2678,2020/02/20,12395525,84
2683,2020/02/21,12395525,1092
2765,2020/02/24,12395525,294
